1-11	MC
310	OPER   	->
310	IDEN   	fin
310	SPEC   	)
310	SPEC   	;
311	SPEC   	}
312	REWD   	break
312	SPEC   	;
313	REWD   	default
313	SPEC   	:
314	IDEN   	fseek
314	SPEC   	(
314	IDEN   	fr
314	OPER   	->
314	IDEN   	fin
314	OPER   	,
314	OPER   	,
314	IDEN   	SEEK_CUR
314	SPEC   	)
314	SPEC   	;
315	REWD   	break
315	SPEC   	;
317	SPEC   	}
319	IDEN   	buffer
319	OPER   	[
319	IDEN   	index
319	OPER   	]
319	OPER   	=
319	CHAR   	\\0
319	SPEC   	;
321	SC     	
322	IDEN   	report_token
322	SPEC   	(
322	IDEN   	fr
322	OPER   	,
322	IDEN   	fout
322	OPER   	,
322	IDEN   	FLOT
322	OPER   	,
322	IDEN   	buffer
322	SPEC   	)
322	SPEC   	;
323	SPEC   	}
325	IDEN   	void
326	IDEN   	scan_character
326	SPEC   	(
326	IDEN   	FileReader
326	OPER   	*
326	IDEN   	fr
326	OPER   	,
326	IDEN   	FILE
326	OPER   	*
326	IDEN   	fout
326	SPEC   	)
327	SPEC   	{
328	REWD   	char
328	IDEN   	c
328	SPEC   	;
329	REWD   	char
329	IDEN   	buffer
329	OPER   	[
329	INTE   	256
329	OPER   	]
329	SPEC   	;
330	REWD   	int
330	IDEN   	index
330	OPER   	=
330	INTE   	0
330	SPEC   	;
332	REWD   	while
332	SPEC   	(
332	SPEC   	(
332	IDEN   	c
332	OPER   	=
332	IDEN   	fgetc
332	SPEC   	(
332	IDEN   	fr
332	OPER   	->
332	IDEN   	fin
332	SPEC   	)
332	SPEC   	)
332	OPER   	!=
332	IDEN   	EOF
332	OPER   	&&
332	IDEN   	c
332	OPER   	!=
332	CHAR   	\\'
332	SPEC   	)
333	SPEC   	{
334	IDEN   	buffer
334	OPER   	[
334	IDEN   	index
334	OPER   	++
334	OPER   	]
334	OPER   	=
334	IDEN   	c
334	SPEC   	;
336	SC     	
337	REWD   	if
337	SPEC   	(
337	IDEN   	c
337	OPER   	==
337	CHAR   	\\\
337	SPEC   	)
338	SPEC   	{
339	IDEN   	c
339	OPER   	=
339	IDEN   	fgetc
339	SPEC   	(
339	IDEN   	fr
339	OPER   	->
339	IDEN   	fin
339	SPEC   	)
339	SPEC   	;
340	IDEN   	buffer
340	OPER   	[
340	IDEN   	index
340	OPER   	++
340	OPER   	]
340	OPER   	=
340	CHAR   	\\\
340	SPEC   	;
341	IDEN   	buffer
341	OPER   	[
341	IDEN   	index
341	OPER   	++
341	OPER   	]
341	OPER   	=
341	IDEN   	c
341	SPEC   	;
342	SPEC   	}
343	SPEC   	}
345	REWD   	if
345	SPEC   	(
345	IDEN   	c
345	OPER   	==
345	CHAR   	\\'
345	SPEC   	)
346	SPEC   	{
347	IDEN   	buffer
347	OPER   	[
347	IDEN   	index
347	OPER   	]
347	OPER   	=
347	CHAR   	\\0
347	SPEC   	;
348	IDEN   	report_token
348	SPEC   	(
348	IDEN   	fr
348	OPER   	,
348	IDEN   	fout
348	OPER   	,
348	IDEN   	CHAR
348	OPER   	,
348	IDEN   	buffer
348	SPEC   	)
348	SPEC   	;
349	SPEC   	}
350	REWD   	else
351	SPEC   	{
352	IDEN   	fprintf
352	SPEC   	(
352	IDEN   	fout
352	OPER   	,
352	STR    	Invalid character constant at line %d\n
352	OPER   	,
352	IDEN   	fr
352	OPER   	->
352	IDEN   	line_number
352	SPEC   	)
352	SPEC   	;
353	SPEC   	}
354	SPEC   	}
356	IDEN   	void
357	IDEN   	scan_string
357	SPEC   	(
357	IDEN   	FileReader
357	OPER   	*
357	IDEN   	fr
357	OPER   	,
357	IDEN   	FILE
357	OPER   	*
357	IDEN   	fout
357	SPEC   	)
358	SPEC   	{
359	REWD   	char
359	IDEN   	c
359	SPEC   	;
360	REWD   	char
360	IDEN   	buffer
360	OPER   	[
360	INTE   	256
360	OPER   	]
360	SPEC   	;
361	REWD   	int
361	IDEN   	index
361	OPER   	=
361	INTE   	0
361	SPEC   	;
362	REWD   	int
362	IDEN   	line_start
362	OPER   	=
362	IDEN   	fr
362	OPER   	->
362	IDEN   	line_number
362	SPEC   	;
364	REWD   	while
364	SPEC   	(
364	SPEC   	(
364	IDEN   	c
364	OPER   	=
364	IDEN   	fgetc
364	SPEC   	(
364	IDEN   	fr
364	OPER   	->
364	IDEN   	fin
364	SPEC   	)
364	SPEC   	)
364	OPER   	!=
364	IDEN   	EOF
364	SPEC   	)
365	SPEC   	{
366	SC     	
367	REWD   	if
367	SPEC   	(
367	IDEN   	c
367	OPER   	==
367	CHAR   	\\\
367	SPEC   	)
368	SPEC   	{
369	IDEN   	buffer
369	OPER   	[
369	IDEN   	index
369	OPER   	++
369	OPER   	]
369	OPER   	=
369	CHAR   	\\\
369	SPEC   	;
370	IDEN   	c
370	OPER   	=
370	IDEN   	fgetc
370	SPEC   	(
370	IDEN   	fr
370	OPER   	->
370	IDEN   	fin
370	SPEC   	)
370	SPEC   	;
371	IDEN   	buffer
371	OPER   	[
371	IDEN   	index
371	OPER   	++
371	OPER   	]
371	OPER   	=
371	IDEN   	c
371	SPEC   	;
372	IDEN   	c
372	OPER   	=
372	IDEN   	fgetc
372	SPEC   	(
372	IDEN   	fr
372	OPER   	->
372	IDEN   	fin
372	SPEC   	)
372	SPEC   	;
373	SPEC   	}
375	REWD   	if
375	SPEC   	(
375	IDEN   	c
375	OPER   	==
375	CHAR   	\\"
375	SPEC   	)
376	SPEC   	{
377	IDEN   	buffer
377	OPER   	[
377	IDEN   	index
377	OPER   	]
377	OPER   	=
377	CHAR   	\\0
377	SPEC   	;
378	IDEN   	report_token
378	SPEC   	(
378	IDEN   	fr
378	OPER   	,
378	IDEN   	fout
378	OPER   	,
378	IDEN   	STR
378	OPER   	,
378	IDEN   	buffer
378	SPEC   	)
378	SPEC   	;
379	REWD   	return
379	SPEC   	;
380	SPEC   	}
381	REWD   	else
381	REWD   	if
381	SPEC   	(
381	IDEN   	c
381	OPER   	==
381	CHAR   	\\n
381	SPEC   	)
382	SPEC   	{
383	IDEN   	fprintf
383	SPEC   	(
383	IDEN   	fout
383	OPER   	,
383	STR    	%d \t STR\t%s \tERROR: missing \"\n
383	OPER   	,
383	IDEN   	line_start
383	OPER   	,
383	IDEN   	buffer
383	SPEC   	)
383	SPEC   	;
384	IDEN   	fr
384	OPER   	->
384	IDEN   	line_number
384	OPER   	++
384	SPEC   	;
385	REWD   	return
385	SPEC   	;
386	SPEC   	}
387	REWD   	else
388	SPEC   	{
389	IDEN   	buffer
389	OPER   	[
389	IDEN   	index
389	OPER   	++
389	OPER   	]
389	OPER   	=
389	IDEN   	c
389	SPEC   	;
390	SPEC   	}
391	SPEC   	}
393	IDEN   	fprintf
393	SPEC   	(
393	IDEN   	fout
393	OPER   	,
393	STR    	%d\tSTR\t\t%s  ERROR: missing \"\n
393	OPER   	,
393	IDEN   	line_start
393	OPER   	,
393	IDEN   	buffer
393	SPEC   	)
393	SPEC   	;
394	SPEC   	}
396	IDEN   	void
397	IDEN   	scan_preprocessor
397	SPEC   	(
397	IDEN   	FileReader
397	OPER   	*
397	IDEN   	fr
397	OPER   	,
397	IDEN   	FILE
397	OPER   	*
397	IDEN   	fout
397	SPEC   	)
398	SPEC   	{
399	REWD   	char
399	IDEN   	c
399	OPER   	=
399	IDEN   	fgetc
399	SPEC   	(
399	IDEN   	fr
399	OPER   	->
399	IDEN   	fin
399	SPEC   	)
399	SPEC   	;
400	REWD   	char
400	IDEN   	buffer
400	OPER   	[
400	INTE   	256
400	OPER   	]
400	SPEC   	;
401	REWD   	int
401	IDEN   	index
401	OPER   	=
401	INTE   	0
401	SPEC   	;
402	IDEN   	buffer
402	OPER   	[
402	IDEN   	index
402	OPER   	++
402	OPER   	]
402	OPER   	=
402	IDEN   	c
402	SPEC   	;
404	SC     	
405	REWD   	while
405	SPEC   	(
405	IDEN   	c
405	OPER   	!=
405	CHAR   	\\n
405	OPER   	&&
405	IDEN   	c
405	OPER   	!=
405	IDEN   	EOF
405	SPEC   	)
406	SPEC   	{
407	IDEN   	c
407	OPER   	=
407	IDEN   	fgetc
407	SPEC   	(
407	IDEN   	fr
407	OPER   	->
407	IDEN   	fin
407	SPEC   	)
407	SPEC   	;
408	IDEN   	buffer
408	OPER   	[
408	IDEN   	index
408	OPER   	++
408	OPER   	]
408	OPER   	=
408	IDEN   	c
408	SPEC   	;
409	SPEC   	}
410	IDEN   	buffer
410	OPER   	[
410	IDEN   	index
410	OPER   	-
410	INTE   	1
410	OPER   	]
410	OPER   	=
410	CHAR   	\\0
410	SPEC   	;
411	IDEN   	fr
411	OPER   	->
411	IDEN   	line_number
411	OPER   	++
411	SPEC   	;
412	IDEN   	report_token
412	SPEC   	(
412	IDEN   	fr
412	OPER   	,
412	IDEN   	fout
412	OPER   	,
412	IDEN   	PREP
412	OPER   	,
412	IDEN   	buffer
412	SPEC   	)
412	SPEC   	;
413	SPEC   	}
415	IDEN   	void
416	IDEN   	scan_operator
416	SPEC   	(
416	IDEN   	FileReader
416	OPER   	*
416	IDEN   	fr
416	OPER   	,
416	IDEN   	FILE
416	OPER   	*
416	IDEN   	fout
416	SPEC   	)
417	SPEC   	{
418	REWD   	char
418	IDEN   	c
418	OPER   	=
418	IDEN   	fgetc
418	SPEC   	(
418	IDEN   	fr
418	OPER   	->
418	IDEN   	fin
418	SPEC   	)
418	SPEC   	;
419	REWD   	char
419	IDEN   	ch
419	SPEC   	;
420	REWD   	char
420	IDEN   	buffer
420	OPER   	[
420	INTE   	3
420	OPER   	]
420	SPEC   	;
421	IDEN   	buffer
421	OPER   	[
421	INTE   	0
421	OPER   	]
421	OPER   	=
421	IDEN   	c
421	SPEC   	;
422	IDEN   	buffer
422	OPER   	[
422	INTE   	1
422	OPER   	]
422	OPER   	=
422	CHAR   	\\0
422	SPEC   	;
424	REWD   	switch
424	SPEC   	(
424	IDEN   	c
424	SPEC   	)
425	SPEC   	{
426	REWD   	case
426	CHAR   	+
426	SPEC   	:
426	SC     	
427	IDEN   	ch
427	OPER   	=
427	IDEN   	fgetc
427	SPEC   	(
427	IDEN   	fr
427	OPER   	->
427	IDEN   	fin
427	SPEC   	)
427	SPEC   	;
428	REWD   	switch
428	SPEC   	(
428	IDEN   	ch
428	SPEC   	)
429	SPEC   	{
430	REWD   	case
430	CHAR   	+
430	SPEC   	:
431	IDEN   	buffer
431	OPER   	[
431	INTE   	1
431	OPER   	]
431	OPER   	=
431	CHAR   	+
431	SPEC   	;
432	IDEN   	buffer
432	OPER   	[
432	INTE   	2
432	OPER   	]
432	OPER   	=
432	CHAR   	\\0
432	SPEC   	;
433	REWD   	break
433	SPEC   	;
434	REWD   	case
434	CHAR   	=
434	SPEC   	:
435	IDEN   	buffer
435	OPER   	[
435	INTE   	1
435	OPER   	]
435	OPER   	=
435	CHAR   	=
435	SPEC   	;
436	IDEN   	buffer
436	OPER   	[
436	INTE   	2
436	OPER   	]
436	OPER   	=
436	CHAR   	\\0
436	SPEC   	;
437	REWD   	break
437	SPEC   	;
438	REWD   	default
438	SPEC   	:
439	IDEN   	fseek
439	SPEC   	(
439	IDEN   	fr
439	OPER   	->
439	IDEN   	fin
439	OPER   	,
439	OPER   	,
439	IDEN   	SEEK_CUR
439	SPEC   	)
439	SPEC   	;
440	REWD   	break
440	SPEC   	;
441	SPEC   	}
443	REWD   	case
443	CHAR   	-
443	SPEC   	:
443	SC     	
444	IDEN   	ch
444	OPER   	=
444	IDEN   	fgetc
444	SPEC   	(
444	IDEN   	fr
444	OPER   	->
444	IDEN   	fin
444	SPEC   	)
444	SPEC   	;
445	REWD   	switch
445	SPEC   	(
445	IDEN   	ch
445	SPEC   	)
446	SPEC   	{
447	REWD   	case
447	CHAR   	-
447	SPEC   	:
448	IDEN   	buffer
448	OPER   	[
448	INTE   	1
448	OPER   	]
448	OPER   	=
448	CHAR   	-
448	SPEC   	;
449	IDEN   	buffer
449	OPER   	[
449	INTE   	2
449	OPER   	]
449	OPER   	=
449	CHAR   	\\0
449	SPEC   	;
450	REWD   	break
450	SPEC   	;
451	REWD   	case
451	CHAR   	=
451	SPEC   	:
452	IDEN   	buffer
452	OPER   	[
452	INTE   	1
452	OPER   	]
452	OPER   	=
452	CHAR   	=
452	SPEC   	;
453	IDEN   	buffer
453	OPER   	[
453	INTE   	2
453	OPER   	]
453	OPER   	=
453	CHAR   	\\0
453	SPEC   	;
454	REWD   	break
454	SPEC   	;
455	REWD   	case
455	CHAR   	>
455	SPEC   	:
456	IDEN   	buffer
456	OPER   	[
456	INTE   	1
456	OPER   	]
456	OPER   	=
456	CHAR   	>
456	SPEC   	;
457	IDEN   	buffer
457	OPER   	[
457	INTE   	2
457	OPER   	]
457	OPER   	=
457	CHAR   	\\0
457	SPEC   	;
458	REWD   	break
458	SPEC   	;
459	REWD   	default
459	SPEC   	:
460	IDEN   	fseek
460	SPEC   	(
460	IDEN   	fr
460	OPER   	->
460	IDEN   	fin
460	OPER   	,
460	OPER   	,
460	IDEN   	SEEK_CUR
460	SPEC   	)
460	SPEC   	;
461	REWD   	break
461	SPEC   	;
462	SPEC   	}
463	REWD   	case
463	CHAR   	*
463	SPEC   	:
463	SC     	
464	IDEN   	ch
464	OPER   	=
464	IDEN   	fgetc
464	SPEC   	(
464	IDEN   	fr
464	OPER   	->
464	IDEN   	fin
464	SPEC   	)
464	SPEC   	;
465	REWD   	switch
465	SPEC   	(
465	IDEN   	ch
465	SPEC   	)
466	SPEC   	{
467	REWD   	case
467	CHAR   	*
467	SPEC   	:
468	IDEN   	buffer
468	OPER   	[
468	INTE   	1
468	OPER   	]
468	OPER   	=
468	CHAR   	*
468	SPEC   	;
469	IDEN   	buffer
469	OPER   	[
469	INTE   	2
469	OPER   	]
469	OPER   	=
469	CHAR   	\\0
469	SPEC   	;
470	REWD   	break
470	SPEC   	;
471	REWD   	default
471	SPEC   	:
472	IDEN   	fseek
472	SPEC   	(
472	IDEN   	fr
472	OPER   	->
472	IDEN   	fin
472	OPER   	,
472	OPER   	,
472	IDEN   	SEEK_CUR
472	SPEC   	)
472	SPEC   	;
473	REWD   	break
473	SPEC   	;
474	SPEC   	}
475	REWD   	case
475	CHAR   	/
475	SPEC   	:
475	SC     	
476	IDEN   	ch
476	OPER   	=
476	IDEN   	fgetc
476	SPEC   	(
476	IDEN   	fr
476	OPER   	->
476	IDEN   	fin
476	SPEC   	)
476	SPEC   	;
477	REWD   	switch
477	SPEC   	(
477	IDEN   	ch
477	SPEC   	)
478	SPEC   	{
479	REWD   	case
479	CHAR   	=
479	SPEC   	:
480	IDEN   	buffer
480	OPER   	[
480	INTE   	1
480	OPER   	]
480	OPER   	=
480	CHAR   	=
480	SPEC   	;
481	IDEN   	buffer
481	OPER   	[
481	INTE   	2
481	OPER   	]
481	OPER   	=
481	CHAR   	\\0
481	SPEC   	;
482	REWD   	break
482	SPEC   	;
483	REWD   	default
483	SPEC   	:
484	IDEN   	fseek
484	SPEC   	(
484	IDEN   	fr
484	OPER   	->
484	IDEN   	fin
484	OPER   	,
484	OPER   	,
484	IDEN   	SEEK_CUR
484	SPEC   	)
484	SPEC   	;
485	REWD   	break
485	SPEC   	;
486	SPEC   	}
487	REWD   	case
487	CHAR   	%
487	SPEC   	:
487	SC     	
488	IDEN   	ch
488	OPER   	=
488	IDEN   	fgetc
488	SPEC   	(
488	IDEN   	fr
488	OPER   	->
488	IDEN   	fin
488	SPEC   	)
488	SPEC   	;
489	REWD   	switch
489	SPEC   	(
489	IDEN   	ch
489	SPEC   	)
490	SPEC   	{
491	REWD   	case
491	CHAR   	=
491	SPEC   	:
492	IDEN   	buffer
492	OPER   	[
492	INTE   	1
492	OPER   	]
492	OPER   	=
492	CHAR   	=
492	SPEC   	;
493	IDEN   	buffer
493	OPER   	[
493	INTE   	2
493	OPER   	]
493	OPER   	=
493	CHAR   	\\0
493	SPEC   	;
494	REWD   	break
494	SPEC   	;
495	REWD   	default
495	SPEC   	:
496	IDEN   	fseek
496	SPEC   	(
496	IDEN   	fr
496	OPER   	->
496	IDEN   	fin
496	OPER   	,
496	OPER   	,
496	IDEN   	SEEK_CUR
496	SPEC   	)
496	SPEC   	;
497	REWD   	break
497	SPEC   	;
498	SPEC   	}
499	REWD   	case
499	CHAR   	=
499	SPEC   	:
499	SC     	
500	IDEN   	ch
500	OPER   	=
500	IDEN   	fgetc
500	SPEC   	(
500	IDEN   	fr
500	OPER   	->
500	IDEN   	fin
500	SPEC   	)
500	SPEC   	;
501	REWD   	switch
501	SPEC   	(
501	IDEN   	ch
501	SPEC   	)
502	SPEC   	{
503	REWD   	case
503	CHAR   	=
503	SPEC   	:
504	IDEN   	buffer
504	OPER   	[
504	INTE   	1
504	OPER   	]
504	OPER   	=
504	CHAR   	=
504	SPEC   	;
505	IDEN   	buffer
505	OPER   	[
505	INTE   	2
505	OPER   	]
505	OPER   	=
505	CHAR   	\\0
505	SPEC   	;
506	REWD   	break
506	SPEC   	;
507	REWD   	default
507	SPEC   	:
508	IDEN   	fseek
508	SPEC   	(
508	IDEN   	fr
508	OPER   	->
508	IDEN   	fin
508	OPER   	,
508	OPER   	,
508	IDEN   	SEEK_CUR
508	SPEC   	)
508	SPEC   	;
509	REWD   	break
509	SPEC   	;
510	SPEC   	}
511	REWD   	case
511	CHAR   	,
511	SPEC   	:
512	REWD   	case
512	CHAR   	>
512	SPEC   	:
512	SC     	
513	IDEN   	ch
513	OPER   	=
513	IDEN   	fgetc
513	SPEC   	(
513	IDEN   	fr
513	OPER   	->
513	IDEN   	fin
513	SPEC   	)
513	SPEC   	;
514	REWD   	switch
514	SPEC   	(
514	IDEN   	ch
514	SPEC   	)
515	SPEC   	{
516	REWD   	case
516	CHAR   	>
516	SPEC   	:
517	IDEN   	buffer
517	OPER   	[
517	INTE   	1
517	OPER   	]
517	OPER   	=
517	CHAR   	>
517	SPEC   	;
518	IDEN   	buffer
518	OPER   	[
518	INTE   	2
518	OPER   	]
518	OPER   	=
518	CHAR   	\\0
518	SPEC   	;
519	REWD   	break
519	SPEC   	;
520	REWD   	case
520	CHAR   	=
520	SPEC   	:
521	IDEN   	buffer
521	OPER   	[
521	INTE   	1
521	OPER   	]
521	OPER   	=
521	CHAR   	=
521	SPEC   	;
522	IDEN   	buffer
522	OPER   	[
522	INTE   	2
522	OPER   	]
522	OPER   	=
522	CHAR   	\\0
522	SPEC   	;
523	REWD   	break
523	SPEC   	;
524	REWD   	default
524	SPEC   	:
525	IDEN   	fseek
525	SPEC   	(
525	IDEN   	fr
525	OPER   	->
525	IDEN   	fin
525	OPER   	,
525	OPER   	,
525	IDEN   	SEEK_CUR
525	SPEC   	)
525	SPEC   	;
526	REWD   	break
526	SPEC   	;
527	SPEC   	}
528	REWD   	case
528	CHAR   	<
528	SPEC   	:
528	SC     	
529	IDEN   	ch
529	OPER   	=
529	IDEN   	fgetc
529	SPEC   	(
529	IDEN   	fr
529	OPER   	->
529	IDEN   	fin
529	SPEC   	)
529	SPEC   	;
530	REWD   	switch
530	SPEC   	(
530	IDEN   	ch
530	SPEC   	)
531	SPEC   	{
532	REWD   	case
532	CHAR   	<
532	SPEC   	:
533	IDEN   	buffer
533	OPER   	[
533	INTE   	1
533	OPER   	]
533	OPER   	=
533	CHAR   	<
533	SPEC   	;
534	IDEN   	buffer
534	OPER   	[
534	INTE   	2
534	OPER   	]
534	OPER   	=
534	CHAR   	\\0
534	SPEC   	;
535	REWD   	break
535	SPEC   	;
536	REWD   	case
536	CHAR   	=
536	SPEC   	:
537	IDEN   	buffer
537	OPER   	[
537	INTE   	1
537	OPER   	]
537	OPER   	=
537	CHAR   	=
537	SPEC   	;
538	IDEN   	buffer
538	OPER   	[
538	INTE   	2
538	OPER   	]
538	OPER   	=
538	CHAR   	\\0
538	SPEC   	;
539	REWD   	break
539	SPEC   	;
540	REWD   	default
540	SPEC   	:
541	IDEN   	fseek
541	SPEC   	(
541	IDEN   	fr
541	OPER   	->
541	IDEN   	fin
541	OPER   	,
541	OPER   	,
541	IDEN   	SEEK_CUR
541	SPEC   	)
541	SPEC   	;
542	REWD   	break
542	SPEC   	;
543	SPEC   	}
544	REWD   	case
544	CHAR   	!
544	SPEC   	:
544	SC     	
545	IDEN   	ch
545	OPER   	=
545	IDEN   	fgetc
545	SPEC   	(
545	IDEN   	fr
545	OPER   	->
545	IDEN   	fin
545	SPEC   	)
545	SPEC   	;
546	REWD   	switch
546	SPEC   	(
546	IDEN   	ch
546	SPEC   	)
547	SPEC   	{
548	REWD   	case
548	CHAR   	=
548	SPEC   	:
549	IDEN   	buffer
549	OPER   	[
549	INTE   	1
549	OPER   	]
549	OPER   	=
549	CHAR   	=
549	SPEC   	;
550	IDEN   	buffer
550	OPER   	[
550	INTE   	2
550	OPER   	]
550	OPER   	=
550	CHAR   	\\0
550	SPEC   	;
551	REWD   	break
551	SPEC   	;
552	REWD   	default
552	SPEC   	:
553	IDEN   	fseek
553	SPEC   	(
553	IDEN   	fr
553	OPER   	->
553	IDEN   	fin
553	OPER   	,
553	OPER   	,
553	IDEN   	SEEK_CUR
553	SPEC   	)
553	SPEC   	;
554	REWD   	break
554	SPEC   	;
555	SPEC   	}
556	REWD   	case
556	CHAR   	&
556	SPEC   	:
556	SC     	
557	IDEN   	ch
557	OPER   	=
557	IDEN   	fgetc
557	SPEC   	(
557	IDEN   	fr
557	OPER   	->
557	IDEN   	fin
557	SPEC   	)
557	SPEC   	;
558	REWD   	switch
558	SPEC   	(
558	IDEN   	ch
558	SPEC   	)
559	SPEC   	{
560	REWD   	case
560	CHAR   	&
560	SPEC   	:
561	IDEN   	buffer
561	OPER   	[
561	INTE   	1
561	OPER   	]
561	OPER   	=
561	CHAR   	&
561	SPEC   	;
562	IDEN   	buffer
562	OPER   	[
562	INTE   	2
562	OPER   	]
562	OPER   	=
562	CHAR   	\\0
562	SPEC   	;
563	REWD   	break
563	SPEC   	;
564	REWD   	default
564	SPEC   	:
565	IDEN   	fseek
565	SPEC   	(
565	IDEN   	fr
565	OPER   	->
565	IDEN   	fin
565	OPER   	,
565	OPER   	,
565	IDEN   	SEEK_CUR
565	SPEC   	)
565	SPEC   	;
566	REWD   	break
566	SPEC   	;
567	SPEC   	}
568	REWD   	case
568	CHAR   	|
568	SPEC   	:
568	SC     	
569	IDEN   	ch
569	OPER   	=
569	IDEN   	fgetc
569	SPEC   	(
569	IDEN   	fr
569	OPER   	->
569	IDEN   	fin
569	SPEC   	)
569	SPEC   	;
570	REWD   	switch
570	SPEC   	(
570	IDEN   	ch
570	SPEC   	)
571	SPEC   	{
572	REWD   	case
572	CHAR   	|
572	SPEC   	:
573	IDEN   	buffer
573	OPER   	[
573	INTE   	1
573	OPER   	]
573	OPER   	=
573	CHAR   	|
573	SPEC   	;
574	IDEN   	buffer
574	OPER   	[
574	INTE   	2
574	OPER   	]
574	OPER   	=
574	CHAR   	\\0
574	SPEC   	;
575	REWD   	break
575	SPEC   	;
576	REWD   	break
576	SPEC   	;
577	REWD   	default
577	SPEC   	:
578	IDEN   	fseek
578	SPEC   	(
578	IDEN   	fr
578	OPER   	->
578	IDEN   	fin
578	OPER   	,
578	OPER   	,
578	IDEN   	SEEK_CUR
578	SPEC   	)
578	SPEC   	;
579	REWD   	break
579	SPEC   	;
580	SPEC   	}
581	REWD   	case
581	CHAR   	^
581	SPEC   	:
582	REWD   	case
582	CHAR   	[
582	SPEC   	:
583	REWD   	case
583	CHAR   	]
583	SPEC   	:
584	REWD   	case
584	CHAR   	.
584	SPEC   	:
585	IDEN   	report_token
585	SPEC   	(
585	IDEN   	fr
585	OPER   	,
585	IDEN   	fout
585	OPER   	,
585	IDEN   	OPER
585	OPER   	,
585	IDEN   	buffer
585	SPEC   	)
585	SPEC   	;
586	REWD   	break
586	SPEC   	;
587	REWD   	case
587	CHAR   	(
587	SPEC   	:
588	REWD   	case
588	CHAR   	)
588	SPEC   	:
589	REWD   	case
589	CHAR   	{
589	SPEC   	:
590	REWD   	case
590	CHAR   	}
590	SPEC   	:
591	REWD   	case
591	CHAR   	;
591	SPEC   	:
592	REWD   	case
592	CHAR   	?
592	SPEC   	:
593	REWD   	case
593	CHAR   	:
593	SPEC   	:
594	IDEN   	report_token
594	SPEC   	(
594	IDEN   	fr
594	OPER   	,
594	IDEN   	fout
594	OPER   	,
594	IDEN   	SPEC
594	OPER   	,
594	IDEN   	buffer
594	SPEC   	)
594	SPEC   	;
595	REWD   	break
595	SPEC   	;
596	REWD   	default
596	SPEC   	:
597	IDEN   	fprintf
597	SPEC   	(
597	IDEN   	fout
597	OPER   	,
597	STR    	Invalid operator at line %d\n
597	OPER   	,
597	IDEN   	fr
597	OPER   	->
597	IDEN   	line_number
597	SPEC   	)
597	SPEC   	;
598	SPEC   	}
599	SPEC   	}
601	IDEN   	void
602	IDEN   	scan_single_comment
602	SPEC   	(
602	IDEN   	FileReader
602	OPER   	*
602	IDEN   	fr
602	OPER   	,
602	IDEN   	FILE
602	OPER   	*
602	IDEN   	fout
602	SPEC   	)
603	SPEC   	{
604	REWD   	char
604	IDEN   	c
604	SPEC   	;
606	REWD   	while
606	SPEC   	(
606	SPEC   	(
606	IDEN   	c
606	OPER   	=
606	IDEN   	fgetc
606	SPEC   	(
606	IDEN   	fr
606	OPER   	->
606	IDEN   	fin
606	SPEC   	)
606	SPEC   	)
606	OPER   	!=
606	IDEN   	EOF
606	OPER   	&&
606	IDEN   	c
606	OPER   	!=
606	CHAR   	\\n
606	SPEC   	)
607	SPEC   	{
608	SC     	
609	SPEC   	}
610	IDEN   	report_token
610	SPEC   	(
610	IDEN   	fr
610	OPER   	,
610	IDEN   	fout
610	OPER   	,
610	IDEN   	SC
610	OPER   	,
610	STR    	
610	SPEC   	)
610	SPEC   	;
611	IDEN   	fr
611	OPER   	->
611	IDEN   	line_number
611	OPER   	++
611	SPEC   	;
612	SPEC   	}
614	IDEN   	void
615	IDEN   	scan_multi_comment
615	SPEC   	(
615	IDEN   	FileReader
615	OPER   	*
615	IDEN   	fr
615	OPER   	,
615	IDEN   	FILE
615	OPER   	*
615	IDEN   	fout
615	SPEC   	)
616	SPEC   	{
617	REWD   	char
617	IDEN   	c
617	SPEC   	;
618	REWD   	int
618	IDEN   	comment_start_line
618	OPER   	=
618	IDEN   	fr
618	OPER   	->
618	IDEN   	line_number
618	SPEC   	;
619	REWD   	while
619	SPEC   	(
619	SPEC   	(
619	IDEN   	c
619	OPER   	=
619	IDEN   	fgetc
619	SPEC   	(
619	IDEN   	fr
619	OPER   	->
619	IDEN   	fin
619	SPEC   	)
619	SPEC   	)
619	OPER   	!=
619	IDEN   	EOF
619	SPEC   	)
620	SPEC   	{
621	REWD   	if
621	SPEC   	(
621	IDEN   	c
621	OPER   	==
621	CHAR   	*
621	SPEC   	)
622	SPEC   	{
623	REWD   	if
623	SPEC   	(
623	SPEC   	(
623	IDEN   	c
623	OPER   	=
623	IDEN   	fgetc
623	SPEC   	(
623	IDEN   	fr
623	OPER   	->
623	IDEN   	fin
623	SPEC   	)
623	SPEC   	)
623	OPER   	==
623	CHAR   	/
623	SPEC   	)
624	SPEC   	{
625	IDEN   	fprintf
625	SPEC   	(
625	IDEN   	fout
625	OPER   	,
625	STR    	%d-%d\t%s\n
625	OPER   	,
626	IDEN   	comment_start_line
626	OPER   	,
627	IDEN   	fr
627	OPER   	->
627	IDEN   	line_number
627	OPER   	,
628	IDEN   	token_type_to_string
628	SPEC   	(
628	IDEN   	MC
628	SPEC   	)
628	SPEC   	)
628	SPEC   	;
629	REWD   	return
629	SPEC   	;
630	SPEC   	}
631	REWD   	else
632	SPEC   	{
633	IDEN   	fseek
633	SPEC   	(
633	IDEN   	fr
633	OPER   	->
633	IDEN   	fin
633	OPER   	,
633	OPER   	,
